filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_17050.JPEG,11.342,13.109,9.152,1.031,8.374,0.717,10.557,8.343,5.056,10.575,8.034,9.207
n01440764_17058.JPEG,7.882,6.853,4.998,1.517,10.383,0.348,10.886,6.383,10.215,6.446,6.257,5.483
n01440764_1713.JPEG,6.082,5.614,2.593,0.873,4.273,0.898,10.112,4.629,6.299,1.367,3.423,2.416
n01440764_17174.JPEG,10.447,10.842,7.431,0.284,9.042,0.317,11.197,5.819,6.45,7.457,6.573,8.818
n01440764_172.JPEG,5.155,3.887,4.438,1.338,3.537,0.936,2.696,2.976,5.468,6.233,5.771,1.34
n01440764_1735.JPEG,8.91,8.476,7.374,0.896,8.972,1.031,11.328,6.95,8.791,4.959,6.116,7.265
n01440764_17454.JPEG,7.515,7.853,5.323,0.342,5.977,0.389,11.192,5.015,9.491,4.451,4.395,6.021
n01440764_17501.JPEG,8.13,4.027,5.857,4.147,9.929,0.249,11.29,7.189,9.378,5.563,6.241,8.348
n01440764_17514.JPEG,8.447,8.749,6.516,0.308,11.262,0.405,11.298,4.255,7.887,7.331,4.713,7.429
n01440764_1764.JPEG,2.68,1.443,4.14,0.604,6.383,0.231,10.312,5.562,8.152,5.253,3.74,3.471
n01440764_1766.JPEG,1.256,0.656,0.551,0.873,5.187,0.311,5.421,0.707,3.155,2.94,0.996,1.157
n01440764_1770.JPEG,4.053,1.449,2.786,1.602,8.912,0.82,11.159,4.764,7.714,2.099,2.453,2.519
n01440764_1775.JPEG,5.833,3.924,5.173,0.048,8.719,0.263,11.354,5.438,7.485,6.57,5.813,6.765
n01440764_1778.JPEG,7.593,5.154,5.303,0.039,10.237,0.736,10.813,6.721,5.741,7.376,5.152,5.956
n01440764_17782.JPEG,6.881,4.586,4.366,0.44,10.82,0.471,10.445,2.088,9.165,5.981,4.039,6.349
n01440764_17789.JPEG,4.176,0.718,1.474,0.649,8.032,0.447,10.188,5.405,7.629,4.436,3.999,3.539
n01440764_17896.JPEG,9.854,9.026,8.561,2.219,11.361,0.66,11.351,5.996,10.265,9.336,8.978,9.527
n01440764_17921.JPEG,2.703,0.675,1.655,0.218,8.07,0.33,7.39,4.643,8.061,5.226,4.019,3.602
n01440764_17927.JPEG,6.863,5.973,6.732,0.075,7.19,0.955,10.234,10.286,8.445,8.34,5.677,7.191
n01440764_1793.JPEG,7.792,8.214,7.115,0.175,10.76,0.254,11.325,4.606,8.961,6.01,6.55,6.534
n01440764_1798.JPEG,2.397,0.882,0.689,0.461,4.469,0.947,8.842,1.303,8.969,5.024,3.793,1.725
n01440764_18.JPEG,7.091,6.584,6.216,0.524,8.59,0.278,8.633,6.85,7.464,6.569,5.425,6.386
n01440764_18128.JPEG,7.533,6.466,7.642,0.566,10.723,0.239,11.013,5.241,7.567,6.223,5.028,9.426
n01440764_18220.JPEG,1.512,1.241,3.35,0.794,1.496,3.159,1.011,4.133,7.152,4.32,1.729,2.665
n01440764_1827.JPEG,8.944,6.711,5.179,0.318,8.08,0.811,10.852,5.089,7.391,5.774,6.324,7.463
n01440764_18592.JPEG,6.068,5.938,2.906,0.376,9.204,0.482,11.265,5.889,8.223,2.355,1.771,3.519
n01440764_1869.JPEG,5.74,5.229,5.096,2.321,5.943,0.73,8.508,5.266,5.859,6.354,5.751,5.852
n01440764_188.JPEG,3.42,1.455,4.341,0.506,5.84,0.768,10.622,1.781,7.6,5.759,5.071,3.272
n01440764_190.JPEG,2.307,0.89,0.986,0.98,4.339,5.017,9.673,4.257,5.611,0.65,0.23,0.794
n01440764_19003.JPEG,3.032,3.683,4.155,3.904,10.735,2.992,9.402,6.458,7.172,2.36,2.591,3.444
n01440764_19005.JPEG,7.096,6.441,5.052,0.207,10.372,0.535,7.006,6.596,6.267,5.185,4.244,4.799
n01440764_19035.JPEG,7.88,7.252,6.572,0.769,8.418,0.844,10.871,5.689,8.762,5.44,4.654,4.741
n01440764_1905.JPEG,5.87,4.565,2.562,0.662,5.551,3.017,10.611,4.741,5.252,5.191,4.125,3.705
n01440764_19119.JPEG,6.189,2.691,4.493,0.414,4.912,1.341,9.006,4.788,5.7,3.555,3.124,4.055
n01440764_19197.JPEG,7.027,6.373,6.091,1.841,9.703,3.133,9.679,4.194,6.597,6.207,6.146,7.752
n01440764_192.JPEG,3.967,2.974,2.83,1.002,7.739,0.492,10.795,5.546,6.78,5.877,4.604,3.598
n01440764_19219.JPEG,4.822,4.673,1.77,0.163,6.745,2.038,8.183,3.098,4.948,4.381,3.578,0.555
n01440764_19302.JPEG,6.965,4.932,4.216,0.298,9.217,0.504,10.297,5.673,8.942,6.343,4.984,3.727
