filename,regnet_y_800mf,regnet_x_16gf,vgg13,vgg19,ViTB32,EfficientNetV2_l,EfficientNetb2,DenseNet169,regnet_x_800mf,ViTH14,EfficientNetb5,DenseNet121,ViTL16,Inception_v3,MNASNet0_5,vgg16_bn,ConvNeXt_large,MaxVit,wide_resnet101_2,swin_v2_b,shufflenet_v2_x0_5,vgg13_bn,EfficientNetb1,swin_s,EfficientNetb6,swin_t,vgg11_bn,regnet_y_16gf,MNASNet0_75,squeezenet1_0,resnet152,ConvNeXt_small,shufflenet_v2_x1_5,MNASNet1_3,swin_v2_s,ConvNeXt_base,resnext101_32x8d,vgg19_bn,regnet_x_8gf,swin_b,regnet_x_1_6gf,EfficientNetb4,regnet_x_400mf,resnet18,resnext50_32x4d,resnet50,regnet_y_32gf,resnext101_64x4d,EfficientNetb3,EfficientNetV2_m,EfficientNetV2_s,resnet34,MobileNet_v3_large,AlexNet,MobileNet_V2,regnet_y_1_6gf,regnet_y_400mf,swin_v2_t,wide_resnet50_2,shufflenet_v2_x1_0,ConvNeXt_tiny,resnet101,regnet_x_32gf,DenseNet201,vgg16,ViTB16,MNASNet1_0,regnet_x_3_2gf,regnet_y_8gf,EfficientNetb7,squeezenet1_1,regnet_y_128gf,MobileNet_v3_small,DenseNet161,GoogLeNet,EfficientNetb0,regnet_y_3_2gf,vgg11,shufflenet_v2_x2_0,ViTL32
n01440764_12996.JPEG,5.564,3.78,2.25,0.599,9.429,11.445,6.187,6.335,0.504,0.502,9.69,3.982,10.465,8.247,0.496,1.385,4.9,9.243,3.466,5.124,0.243,0.621,7.164,4.005,8.875,3.156,0.769,10.828,0.341,2.338,3.858,3.454,2.071,1.838,4.629,5.511,3.104,1.925,3.28,4.579,2.539,5.876,1.001,1.636,3.446,3.791,8.502,1.939,8.39,8.606,9.384,2.622,5.497,0.311,1.163,7.427,5.497,2.99,2.829,1.937,1.084,3.957,4.182,4.038,0.611,0.268,0.43,2.793,8.468,7.616,2.945,6.82,6.96,5.023,3.652,4.938,9.444,4.78,2.187,6.531
n01440764_13009.JPEG,7.837,8.294,4.461,6.846,8.96,3.409,9.604,11.512,6.01,0.462,11.479,11.512,7.336,11.513,1.401,8.181,4.846,7.578,8.611,3.478,0.246,4.623,8.858,8.583,9.397,7.295,1.769,9.604,3.039,1.235,9.012,5.379,4.905,7.205,6.543,6.119,7.584,9.934,9.883,7.72,6.47,11.179,6.102,0.895,10.224,7.102,2.135,7.025,9.854,8.446,7.905,7.726,7.259,1.109,2.904,7.093,6.212,7.232,7.673,1.003,5.229,8.836,6.221,11.511,4.048,0.905,3.431,8.394,9.173,8.525,2.08,1.032,0.953,11.494,6.922,8.118,8.985,1.511,8.629,3.667
n01440764_1302.JPEG,4.314,3.451,0.751,0.718,5.557,4.522,4.987,1.26,0.511,0.756,9.714,1.892,7.377,11.512,0.336,0.308,6.504,6.403,3.99,4.541,0.676,0.516,5.157,3.845,8.919,2.45,0.67,7.503,0.174,0.926,3.951,6.645,0.199,0.132,2.585,5.96,1.281,2.332,3.314,5.672,0.312,6.9,0.376,0.369,2.647,1.24,7.923,1.238,6.586,7.993,7.875,0.275,1.732,0.56,0.447,5.139,4.252,3.449,2.064,0.407,3.4,2.848,3.68,0.659,0.274,0.963,1.009,2.286,6.382,9.963,1.076,7.018,1.959,0.484,1.182,1.099,6.526,0.785,0.677,3.747
n01440764_13035.JPEG,7.943,11.053,2.906,3.635,7.093,9.212,8.526,11.512,7.696,0.161,11.449,11.513,11.069,11.513,0.553,4.208,7.073,7.167,11.004,4.711,0.631,5.45,10.394,5.934,9.662,8.897,1.067,11.105,4.548,0.539,11.166,7.142,3.57,6.022,5.381,7.173,10.074,5.044,11.328,7.461,6.492,11.627,4.699,0.645,11.857,8.729,4.289,8.963,11.843,8.869,9.551,5.596,8.491,3.794,4.811,8.177,6.397,6.186,8.587,0.696,7.205,11.214,9.607,11.513,0.782,0.824,1.87,11.297,11.019,10.562,1.431,1.839,4.928,11.513,7.096,8.141,9.681,0.872,1.332,5.504
n01440764_13051.JPEG,5.074,2.183,0.904,0.543,8.675,9.118,8.559,2.938,0.625,0.451,7.845,1.764,11.127,11.151,0.218,0.36,2.236,8.16,3.808,3.717,0.582,0.482,6.2,1.823,6.303,1.332,0.525,10.13,0.139,0.218,3.028,4.771,0.795,0.948,3.351,5.676,2.448,0.805,3.842,4.083,1.062,6.169,0.867,0.329,1.612,1.645,7.112,2.288,7.166,8.575,9.091,0.662,1.551,0.567,0.28,6.533,3.04,4.186,1.93,0.712,1.673,2.855,2.518,2.578,0.503,0.583,0.223,2.618,9.114,7.428,0.376,5.852,1.084,1.467,1.196,0.58,8.078,0.576,0.887,6.687
n01440764_13059.JPEG,2.218,0.488,0.507,1.373,2.237,4.509,7.53,0.854,0.366,2.399,6.238,0.814,6.922,11.512,0.223,1.233,0.125,5.819,0.426,0.83,0.323,0.764,3.107,0.768,6.992,0.707,0.793,4.242,0.103,0.264,0.424,0.576,0.121,0.218,0.567,0.474,0.403,0.832,0.673,1.098,0.271,4.345,0.234,0.416,0.692,0.369,7.303,0.222,4.273,7.289,5.746,0.26,1.949,2.639,0.451,2.882,2.546,0.192,0.337,0.494,0.07,0.57,0.535,0.606,0.96,0.647,0.571,0.508,3.759,6.131,0.268,5.576,0.732,0.642,1.67,3.911,4.585,1.064,0.23,4.078
n01440764_13068.JPEG,7.991,1.687,5.139,4.308,11.237,9.69,11.206,4.168,0.58,0.346,8.892,6.567,10.659,11.513,0.472,6.77,5.016,7.201,2.085,4.508,0.206,5.959,8.966,3.763,9.4,3.24,4.904,9.892,0.674,0.15,1.818,4.488,1.341,1.232,4.444,5.774,2.285,6.585,2.093,4.873,1.241,6.935,0.989,3.35,2.272,1.728,9.88,1.285,7.581,8.249,8.754,4.185,6.998,7.145,2.248,7.827,7.568,4.255,2.069,2.718,0.611,1.827,2.328,2.197,4.923,0.566,2.724,1.207,8.446,10.634,0.567,4.593,9.046,2.818,7.849,8.299,8.696,3.022,0.973,7.227
n01440764_1310.JPEG,1.794,0.529,0.412,0.451,2.985,3.006,1.551,0.52,0.278,0.17,5.516,0.474,2.925,8.015,0.292,0.251,0.968,4.217,0.523,1.025,0.251,0.406,0.957,0.461,5.874,0.439,0.152,2.582,0.198,0.134,0.453,0.408,0.348,0.127,2.066,2.653,0.459,0.342,0.587,1.276,0.215,4.343,0.314,0.775,0.523,0.148,6.49,0.291,2.563,6.146,1.614,0.532,0.982,1.055,0.155,1.566,3.371,0.684,0.245,2.272,0.026,0.276,0.537,0.283,0.236,0.329,1.327,0.526,5.294,2.986,0.268,3.615,0.882,0.483,0.597,1.114,1.734,0.188,0.672,4.289
n01440764_13116.JPEG,9.444,4.616,1.089,1.034,5.794,7.27,8.344,3.299,1.145,0.66,7.677,1.829,8.264,8.789,0.352,2.174,8.753,7.222,4.426,6.004,1.222,2.419,7.01,7.618,8.501,4.475,1.284,9.039,0.793,0.456,3.662,7.015,0.974,1.836,5.824,7.282,2.631,2.83,4.374,7.44,2.119,6.817,1.735,0.483,4.065,3.325,9.285,3.984,7.232,8.826,8.152,0.5,5.395,3.979,0.87,7.712,5.268,5.818,3.843,0.557,2.99,4.137,4.416,3.368,1.548,0.439,1.139,2.382,8.645,8.401,1.277,7.352,3.981,5.33,3.436,2.596,8.841,1.071,0.635,4.209
n01440764_13122.JPEG,0.783,1.408,0.507,0.661,1.05,6.367,0.873,1.024,0.288,4.553,2.912,1.158,6.581,11.512,0.156,0.735,2.788,1.548,1.243,2.398,0.536,1.944,1.075,1.169,3.689,1.98,0.455,4.473,0.257,0.58,1.049,3.413,0.292,0.462,1.732,4.155,1.02,0.388,1.009,1.774,0.451,1.655,0.427,0.37,2.015,0.762,5.394,0.6,1.063,6.115,6.815,0.771,0.535,2.823,0.257,0.717,0.842,0.967,0.809,1.001,0.149,1.309,2.221,0.554,0.533,0.542,0.94,1.06,2.496,1.16,0.317,4.46,0.704,0.769,2.08,0.785,2.063,0.551,0.785,1.063
